2019-09-21T16:04:18.538Z info: Using account 0xB7Cdb42e908FaD24A84CB61373f42ED273E2065a
2019-09-21T16:04:18.985Z verbose: Handling pending orders for block 8593565
2019-09-21T16:04:18.990Z verbose: Looking for new orders until block 8593565
2019-09-21T16:04:33.956Z debug: 105/2092 - Check TX 0x1359c1e50cd9502c8ad66530f56c011b5027e9151158cc162f05ef0b49dfee78
2019-09-21T16:04:34.066Z debug: 106/2092 - Check TX 0x7ec7673f306e2023e2b34d1b8916be7581d2d3d7357c0cc72f9ecbab117987f9
2019-09-21T16:04:34.179Z debug: 107/2092 - Check TX 0x7b5f4c09b7646b2b145470b2300d8d259d0c80e90446f2d5069b89bd3b6f5246
2019-09-21T16:04:34.306Z debug: 108/2092 - Check TX 0x284af90511027a108a6683178098826a1bb6b2dbc13dd30ad59db3e3ab0bb30d
2019-09-21T16:04:34.420Z debug: 109/2092 - Check TX 0x67e309f07d4ba2444302c38435f2c5fc11b64a98fa78a07dd8eaae4d50dd5ffd
2019-09-21T16:04:34.536Z debug: 110/2092 - Check TX 0x1d91cba6430397731740fa8c9b1f61b7c9e310d5e674f1ef2d1f517ddad4d02e
2019-09-21T16:04:34.647Z debug: 111/2092 - Check TX 0xd4b94d0569bd3f23a876dd01241cf8ee439ba46fadbfeaa7b46e212d1184b16d
2019-09-21T16:04:34.760Z debug: 112/2092 - Check TX 0x368ed762caf674b17126745b98b96531c2dc36915e6cbd7fae14d701e07bf753
2019-09-21T16:04:34.872Z debug: 113/2092 - Check TX 0x143c5086187a946b6b4d1a2e4933c23dacd3b61630fbb87768ce3716e7a18203
2019-09-21T16:04:34.984Z debug: 114/2092 - Check TX 0xa1014872b42613a74a6521ae3dddc003637e8ad2aedc5237e5e2c0afaf07bd9b
2019-09-21T16:04:35.095Z debug: 115/2092 - Check TX 0xdde2f0ab86b36c9bbe2a9575867289786ba1e87982ebc261f2785fe70180e88c
2019-09-21T16:04:35.208Z debug: 116/2092 - Check TX 0x56fd468656079972cb07d5b34c469346d0425e89e4c2bd565a13d835e56619f4
2019-09-21T16:04:35.320Z debug: 117/2092 - Check TX 0xc90a5c004c1f76e9b24882dee839a76c2fb42d15e355cd6a0b0163e3cb0950ab
2019-09-21T16:04:35.432Z debug: 118/2092 - Check TX 0xde467167ec49aabd6688287d2ad654991fca6bbb72a9d33e4fe664449a3ebde3
2019-09-21T16:04:35.543Z debug: 119/2092 - Check TX 0x84d363b9282ee9f8decf0d2414275afb90ade5971d70f42bd1182946108fbe0a
2019-09-21T16:04:35.653Z debug: 120/2092 - Check TX 0x434858d5b07ce89032f2b63ac202e13be2533b3748e8c383349296fcd18e766e
2019-09-21T16:04:35.801Z debug: 123/2092 - Check TX 0x047c984d5e7e7da60512d4dd7726d392774eebc99f7bd6f8603631c0a30b4c04
2019-09-21T16:04:35.915Z debug: 124/2092 - Check TX 0xd8baea8cd8a8edcbf37fc7a797a09b206c69dbd45091853646bdac48b244c040
2019-09-21T16:04:36.032Z debug: 125/2092 - Check TX 0xc4ca6efc39933d8d433f8f152b29f9bc8c0b55180ccf583d36ff434125666700
2019-09-21T16:04:36.138Z debug: 127/2092 - Check TX 0x2d2116c54352f50bdbf269d56c0fcf8657090cbd317e3c04f58546c05288585f
2019-09-21T16:04:36.252Z debug: 128/2092 - Check TX 0x079e78160ab9e7dbed4b8ff7785ed2404fa766b78b33db412b43fb6e53c18710
2019-09-21T16:04:36.366Z debug: 129/2092 - Check TX 0xda443ef1318f13b8d02681741063574e7929ac7f6211f990c52f39bb4cd7fc72
2019-09-21T16:04:36.475Z debug: 130/2092 - Check TX 0x7ca48562958ce0710dd8ad91258f3fc30d20d48b9e9861a6a7b32098158f5ca3
2019-09-21T16:04:36.584Z debug: 131/2092 - Check TX 0x77a5178948cd6a3ba6429ec5b52fbc7a4cf91b08095a4660869ac936b0765e04
2019-09-21T16:04:36.697Z debug: 132/2092 - Check TX 0xfa7b98fede4d15f2240ea0464551b3e962f11bbbd4f120bc427b2fe53196677f
2019-09-21T16:04:36.806Z debug: 133/2092 - Check TX 0xf0f538b6fb2f80bd1b4f08dbf2f762b7d17c1adf6e363a1bb1d4bc26f9f17fc6
2019-09-21T16:04:36.918Z debug: 134/2092 - Check TX 0x04cd3addc3bc97aa818599f387a9b325c9e439a8f35eb7fece7c13b70c6688b3
2019-09-21T16:04:37.028Z debug: 135/2092 - Check TX 0xef4d084565499d956c66e48c9d9907074eb954e0ddec722ce8f92ec46a757b02
2019-09-21T16:04:37.139Z debug: 136/2092 - Check TX 0x384d7adc8cea50cdbad568b2fdb4f8433cfaa40c49606b326953ddd07300854a
2019-09-21T16:04:37.251Z debug: 137/2092 - Check TX 0xff8c50bea1b1e2a87fa001f35756ce2c8bf0d98cdb1168206639712ccc55423d
2019-09-21T16:04:37.364Z debug: 138/2092 - Check TX 0xc15274b2a46b85bb54a1146bf83f660946b89e55cc27d4dd5a50adcb419317e3
2019-09-21T16:04:37.475Z debug: 139/2092 - Check TX 0xc47e372f6f5b1090a5406b6c77d35a6e9f8a4623f84f69548b82b8080180b273
2019-09-21T16:04:37.584Z debug: 140/2092 - Check TX 0xad586ae307a3f7162ad3fd377cf8cf0db42db8bc977d8404b96f99121d37c8c6
2019-09-21T16:04:37.703Z debug: 141/2092 - Check TX 0x0c4deded9ae51e13f351672ec3322e33af16adf7134a838a1784b64a700600d4
2019-09-21T16:04:37.818Z debug: 142/2092 - Check TX 0x6c18c2ba135d217aef7f24472b556d6db2eb4789d9a46711e51426250b6accdd
2019-09-21T16:04:37.980Z debug: 143/2092 - Check TX 0xc861fdeac7db210718f879b2734c5c8baa3d6866550bda7c12e0d4c0d16775e5
2019-09-21T16:04:38.092Z debug: 144/2092 - Check TX 0x7f06160bcd2bff49a1f926281db8a7a49889e2a34aa2239b2747fb7f63be5b00
2019-09-21T16:04:38.201Z debug: 148/2092 - Check TX 0x8bd56b5a9be58b0e7efd935e9088fe655693debaad5676fc758330a3f1caec2c
2019-09-21T16:04:38.313Z debug: 149/2092 - Check TX 0xfab2fcdec5dad8447bff40978b818e64f4f34298289875bd7bf56af2a4014b71
2019-09-21T16:04:38.428Z debug: 150/2092 - Check TX 0x1db851e00a8c3219f1104be515e42497b13731ea61c1a0881da438fa450e1e93
2019-09-21T16:04:38.538Z debug: 151/2092 - Check TX 0x9dbdcc25e6978b3ea239845f1b09c2b489cdd114a3204d5827318af20dc4504e
2019-09-21T16:04:38.648Z debug: 153/2092 - Check TX 0x6662137060c66d1ac8c7e85c0b086d5ab5469f01e25c7d33dbd970e1a73fe9df
2019-09-21T16:04:38.764Z debug: 154/2092 - Check TX 0x0ecdbf4781326fa4bdc53c7280e451bbeb86f9d5945a47cdd504331729b3ff26
2019-09-21T16:04:38.871Z debug: 158/2092 - Check TX 0x86160925ee3f0fd7c155af044d1226906278685b05d5a5e62cea94dab08ecd1b
2019-09-21T16:04:38.981Z debug: 160/2092 - Check TX 0x1ddac51f7de83343153533457f126fd496907a6131e6359e2303a31931d3ce3b
2019-09-21T16:04:39.091Z debug: 161/2092 - Check TX 0x281ad03e190c80414af682aeb7de3f72b4f5b162bfbc8af0616c6e7c3301a0bd
2019-09-21T16:04:39.206Z debug: 162/2092 - Check TX 0xa0e98ea824a9a95335e87b6e1169010a74b82a6c7904c146d60589e883010edc
2019-09-21T16:04:39.323Z debug: 163/2092 - Check TX 0x69e8bbb7df5ef26eabefc58c54e815e28a7f43168300f2404ad0735bc49fde0e
2019-09-21T16:04:39.432Z debug: 164/2092 - Check TX 0xa98e03e75415e460831205614cb821e03da479c40f317fa0d16e281595bc24a9
2019-09-21T16:04:39.546Z debug: 165/2092 - Check TX 0x3c7f71f85bf6e0ee333d57b8441e5054785664c9ffa635759e46ef9b8fc1cd66
2019-09-21T16:04:39.666Z debug: 166/2092 - Check TX 0x7fc83b0aa90d9fb5e1a0651e8e883d2305ec410265c09f037df22f816115ab8e
2019-09-21T16:04:39.774Z debug: 167/2092 - Check TX 0xabbcf6323cb45fd0a68d1d3f91fc638f67c8a1310a6d490b9551a273c091e87e
2019-09-21T16:04:39.889Z debug: 168/2092 - Check TX 0xd8913c674938590b028b1a3d85ceead4add50c5c290c750a7f09389fb4fd504d
2019-09-21T16:04:40.006Z debug: 169/2092 - Check TX 0x1c9028e66b09a11f14b4b2a9b7fc4b5dbca77c268e243d2d56902f3ba9991831
2019-09-21T16:04:40.114Z debug: 170/2092 - Check TX 0x800eadc7e8fb97a44003c44df93cb05fd7858c187d95754fc24e06f02be196f1
2019-09-21T16:04:40.225Z debug: 171/2092 - Check TX 0x9c3900246269539a83f5b5bae634f67a387ffe0b41470a0ff408193e97310b3b
2019-09-21T16:04:40.337Z debug: 172/2092 - Check TX 0x784097c14257cb8ad0df551e215313c91cbf0892cbc004c1fe0925b930f9ee8b
2019-09-21T16:04:40.458Z debug: 173/2092 - Check TX 0xb9e90a761134254886f1e8711e53314a4827cfa1269d036d30414e89b8e22873
2019-09-21T16:04:40.567Z debug: 174/2092 - Check TX 0x3a15b7624999768d6c63f425562d3674eea6d337624293166051203f5904c589
2019-09-21T16:04:40.678Z debug: 175/2092 - Check TX 0x48ea6b6055e67b2a4685ef683b0d2dc0222815210272ecb02c1aa7587a768861
2019-09-21T16:04:40.786Z debug: 176/2092 - Check TX 0x38dc21ea349a6c6ed23317f68f84512cd2f8c6652800ddbcabf0c044f3cecf05
2019-09-21T16:04:40.897Z debug: 177/2092 - Check TX 0x26c27764d301f937fdc15f143c8aa6e03dbc9d5f0146c7fbcf672dbfc9bd2be0
2019-09-21T16:04:41.029Z debug: 178/2092 - Check TX 0x347c0688aac4ce4f835a53fd7a8a4afecdc2bc88346f46590184fbf38005970a
2019-09-21T16:04:41.145Z debug: 179/2092 - Check TX 0xf0d0c915bd05d1fe9353b0137cb6ec1433dc2114e2bce045404499b8bf215c60
2019-09-21T16:04:41.259Z debug: 180/2092 - Check TX 0xf35c8995b47025ec7cd09d943709fd85b03b7346ffd793700f330ff91fa6cf86
2019-09-21T16:04:41.370Z debug: 181/2092 - Check TX 0x38ac4b0acdad16678a5c1161e4471d87372067f1b0f219a1e34bd776b0dab0fd
2019-09-21T16:04:41.482Z debug: 182/2092 - Check TX 0x6562ede686157bd8b8f54572974792472aef6ed20265b0b780696829930043a4
2019-09-21T16:04:41.593Z debug: 183/2092 - Check TX 0x0e1debcb685d688bc15323182296e3d1897e4de9698fb61b794e28d26a6f0306
2019-09-21T16:04:42.024Z debug: 184/2092 - Check TX 0x65c20cd069e24552170bb31d7ce58f418ef74154e93db049566091b74cde6724
2019-09-21T16:04:42.136Z debug: 185/2092 - Check TX 0xcb7e01b29eb10c87bf502c71f448c2ecd92df4f99299eb1baab656098a7b0983
2019-09-21T16:04:42.251Z debug: 187/2092 - Check TX 0xf10d2e4587a6c603a4d0cac066e16f16463f489829f4b18ce3e5792f8229d839
